STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Uttar Pradesh,9,Thana Bhawan,3 Zaheer Malik,MALE,48,GENERAL,BSP,Elephant,11010,29,11039,5.05,326817
Uttar Pradesh,9,Thana Bhawan,4 Sherpal Urf Sudhir Urf Sher Singh,MALE,48,GENERAL,IND,Camera,3965,10,3975,1.82,326817
Uttar Pradesh,9,Thana Bhawan,5 Rakesh Kumar,MALE,40,GENERAL,ASPKR,Kettle,3177,11,3188,1.46,326817
Uttar Pradesh,9,Thana Bhawan,6 Satya Sanyam Bhuryan,MALE,43,GENERAL,INC,Hand,787,6,793,0.36,326817
Uttar Pradesh,9,Thana Bhawan,7 NOTA,,,,NOTA,NOTA,789,0,789,0.36,326817
Uttar Pradesh,9,Thana Bhawan,8 Saddam,MALE,31,GENERAL,SDPI,Auto- Rickshaw,702,1,703,0.32,326817
Uttar Pradesh,9,Thana Bhawan,9 Arvind Deshwal,MALE,49,GENERAL,AAAP,Broom,668,6,674,0.31,326817
Uttar Pradesh,9,Thana Bhawan,10 Rama Adil,FEMALE,48,GENERAL,IND,Batsman,358,1,359,0.16,326817
Uttar Pradesh,9,Thana Bhawan,11 Ikram,MALE,48,GENERAL,AIMIM,Kite,325,0,325,0.15,326817
TURN OUT,,,,,,TOTAL:,,,217578,963,218541,66.87,
Uttar Pradesh,10,Shamli,1 Persann Kumar,MALE,51,GENERAL,RLD,Hand Pump,102504,566,103070,48.86,311974
Uttar Pradesh,10,Shamli,2 Tejendra Singh,MALE,56,GENERAL,BJP,Lotus,95243,720,95963,45.49,311974
Uttar Pradesh,10,Shamli,3 Bijendra,MALE,55,GENERAL,BSP,Elephant,8150,33,8183,3.88,311974
Uttar Pradesh,10,Shamli,4 NOTA,,,,NOTA,NOTA,797,2,799,0.38,311974
Uttar Pradesh,10,Shamli,5 Mohmmad Ayub Jang,MALE,61,GENERAL,INC,Hand,771,9,780,0.37,311974
Uttar Pradesh,10,Shamli,6 Asim,MALE,34,GENERAL,IND,Gas Cylinder,641,1,642,0.3,311974
Uttar Pradesh,10,Shamli,7 Lalit Kumar,MALE,40,GENERAL,IND,Apple,498,0,498,0.24,311974
Uttar Pradesh,10,Shamli,8 Sunita Devi,FEMALE,40,GENERAL,svjn,Ganna Kisan,436,3,439,0.21,311974
Uttar Pradesh,10,Shamli,9 Bijendra,MALE,41,GENERAL,AAAP,Broom,258,0,258,0.12,311974
Uttar Pradesh,10,Shamli,10 Dhurendar Singh,MALE,42,GENERAL,IND,Funnel,221,1,222,0.11,311974
Uttar Pradesh,10,Shamli,11 Ajay,MALE,39,GENERAL,IND,Green Chilli,96,2,98,0.05,311974
TURN OUT,,,,,,TOTAL:,,,209615,1337,210952,67.62,
Uttar Pradesh,11,Budhana,1 Rajpal Singh Baliyan,MALE,70,GENERAL,RLD,Hand Pump,130516,577,131093,51.28,377680
Uttar Pradesh,11,Budhana,2 Umesh Malik,MALE,56,GENERAL,BJP,Lotus,102094,689,102783,40.21,377680
Uttar Pradesh,11,Budhana,3 Anees,MALE,53,GENERAL,BSP,Elephant,10360,37,10397,4.07,377680
Uttar Pradesh,11,Budhana,4 Bheem Singh,MALE,54,GENERAL,AIMIM,Kite,2629,4,2633,1.03,377680
Uttar Pradesh,11,Budhana,5 Devendra Kumar,MALE,34,GENERAL,INC,Hand,2439,13,2452,0.96,377680
Uttar Pradesh,11,Budhana,6 Saleem,MALE,43,GENERAL,ASPKR,Kettle,2096,3,2099,0.82,377680
Uttar Pradesh,11,Budhana,7 NOTA,,,,NOTA,NOTA,1067,3,1070,0.42,377680
Uttar Pradesh,11,Budhana,8 Devendra Malik Pahalwan,MALE,52,GENERAL,AAAP,Broom,1032,9,1041,0.41,377680
Uttar Pradesh,11,Budhana,9 Anu Kumar,MALE,48,GENERAL,IND,Camera,809,1,810,0.32,377680
Uttar Pradesh,11,Budhana,10 Rajendra Kumar,MALE,52,SC,IND,Almirah,681,0,681,0.27,377680
Uttar Pradesh,11,Budhana,11 Arvind Kumar,MALE,47,GENERAL,IND,Balloon,321,1,322,0.13,377680
Uttar Pradesh,11,Budhana,12 Captain Neel Kumar,MALE,39,SC,JAISMP,Dish Antenna,243,0,243,0.1,377680
TURN OUT,,,,,,TOTAL:,,,254287,1337,255624,67.68,
Uttar Pradesh,12,Charthawal,1 Pankaj Kumar Malik,MALE,43,GENERAL,SP,Bicycle,97068,295,97363,43.82,331171
Uttar Pradesh,12,Charthawal,2 Sapna Kashyap,FEMALE,48,GENERAL,BJP,Lotus,91649,380,92029,41.42,331171
Uttar Pradesh,12,Charthawal,3 Salman Sayeed,MALE,44,GENERAL,BSP,Elephant,25070,61,25131,11.31,331171
Uttar Pradesh,12,Charthawal,4 Tahir Husain Ansari,MALE,58,GENERAL,AIMIM,Kite,3232,2,3234,1.46,331171
Uttar Pradesh,12,Charthawal,5 Yasmeen Rao,FEMALE,36,GENERAL,INC,Hand,956,9,965,0.43,331171
Uttar Pradesh,12,Charthawal,6 NOTA,,,,NOTA,NOTA,874,4,878,0.4,331171
Uttar Pradesh,12,Charthawal,7 Tarun Singh,MALE,27,GENERAL,ASPKR,Kettle,671,3,674,0.3,331171
Uttar Pradesh,12,Charthawal,8 Chanderveer,MALE,63,GENERAL,IND,Almirah,435,0,435,0.2,331171
Uttar Pradesh,12,Charthawal,9 Kapil Kumar,MALE,27,GENERAL,RSPS,Cup & Saucer,366,1,367,0.17,331171
Uttar Pradesh,12,Charthawal,10 Saleem Malik,MALE,49,GENERAL,IND,Camera,347,0,347,0.16,331171
Uttar Pradesh,12,Charthawal,11 Abhishek,MALE,36,GENERAL,IND,Black Board,337,0,337,0.15,331171
Uttar Pradesh,12,Charthawal,12 Ajay Kashyap,MALE,27,GENERAL,IND,Carrom Board,207,1,208,0.09,331171
Uttar Pradesh,12,Charthawal,13 Sangeeta,FEMALE,36,GENERAL,JAISMP,Dish Antenna,125,0,125,0.06,331171
Uttar Pradesh,12,Charthawal,14 Yawar Roshan,MALE,32,GENERAL,AAAP,Broom,95,2,97,0.04,331171
TURN OUT,,,,,,TOTAL:,,,221432,758,222190,67.09,
Uttar Pradesh,13,Purqazi,1 Anil Kumar,MALE,46,SC,RLD,Hand Pump,92327,345,92672,43.09,329110
Uttar Pradesh,13,Purqazi,2 Pramod Utwal,MALE,57,SC,BJP,Lotus,85687,453,86140,40.05,329110
Uttar Pradesh,13,Purqazi,3 Surendra Pal Singh,MALE,77,SC,BSP,Elephant,27700,78,27778,12.91,329110
Uttar Pradesh,13,Purqazi,4 Uma Kiran,FEMALE,56,SC,ASPKR,Kettle,2314,7,2321,1.08,329110
Uttar Pradesh,13,Purqazi,5 Deepak Kumar,MALE,65,SC,INC,Hand,1749,13,1762,0.82,329110
Uttar Pradesh,13,Purqazi,6 NOTA,,,,NOTA,NOTA,918,3,921,0.43,329110
Uttar Pradesh,13,Purqazi,7 Mukesh Kumar,MALE,50,SC,IND,Camera,884,0,884,0.41,329110
Uttar Pradesh,13,Purqazi,8 Kavita,FEMALE,44,SC,BMUP,Cot,688,1,689,0.32,329110
Uttar Pradesh,13,Purqazi,9 Neelam Devi,FEMALE,31,SC,IND,DIAMOND,646,0,646,0.3,329110
Uttar Pradesh,13,Purqazi,10 Anil Kumar,MALE,52,SC,AAAP,Broom,586,6,592,0.28,329110
Uttar Pradesh,13,Purqazi,11 Suneel Kumar,MALE,27,SC,IND,BUCKET,353,0,353,0.16,329110
Uttar Pradesh,13,Purqazi,12 Sunita,FEMALE,43,SC,MKUP,Auto- Rickshaw,327,0,327,0.15,329110
TURN OUT,,,,,,TOTAL:,,,214179,906,215085,65.35,
Uttar Pradesh,14,Muzaffar Nagar,1 Kapil Dev Agarwal,MALE,58,GENERAL,BJP,Lotus,111149,645,111794,49.57,358658
Uttar Pradesh,14,Muzaffar Nagar,2 SAURABH,MALE,51,GENERAL,RLD,Hand Pump,92566,534,93100,41.28,358658
Uttar Pradesh,14,Muzaffar Nagar,3 PUSPANKAR DEEPAK,MALE,32,GENERAL,BSP,Elephant,10650,83,10733,4.76,358658
Uttar Pradesh,14,Muzaffar Nagar,4 MOHAMMED INTEZAR,MALE,36,GENERAL,AIMIM,Kite,3740,10,3750,1.66,358658
Uttar Pradesh,14,Muzaffar Nagar,5 SUBHODH SHARMA,MALE,67,GENERAL,INC,Hand,1682,12,1694,0.75,358658
Uttar Pradesh,14,Muzaffar Nagar,6 Dharmendra Kumar,MALE,33,GENERAL,IND,Gas Cylinder,847,1,848,0.38,358658
Uttar Pradesh,14,Muzaffar Nagar,7 Parvez Alam,MALE,29,GENERAL,ASPKR,Kettle,723,2,725,0.32,358658
Uttar Pradesh,14,Muzaffar Nagar,8 NOTA,,,,NOTA,NOTA,674,1,675,0.3,358658
Uttar Pradesh,14,Muzaffar Nagar,9 Abha Sharma,FEMALE,40,GENERAL,AAAP,Broom,494,1,495,0.22,358658
Uttar Pradesh,14,Muzaffar Nagar,10 Raj Kishor Garg,MALE,61,GENERAL,IND,DIAMOND,410,0,410,0.18,358658
Uttar Pradesh,14,Muzaffar Nagar,11 RAJNISH,MALE,45,GENERAL,RSPS,Cup & Saucer,389,5,394,0.17,358658
Uttar Pradesh,14,Muzaffar Nagar,12 Rahul Kumar Jain,MALE,37,GENERAL,IND,Helicopter,301,0,301,0.13,358658
Uttar Pradesh,14,Muzaffar Nagar,13 SAMEY SINGH,MALE,67,GENERAL,IND,HOCKEY AND BALL,210,0,210,0.09,358658
Uttar Pradesh,14,Muzaffar Nagar,14 Krishan Pal,MALE,59,GENERAL,BLokSP,Lunch Box,170,1,171,0.08,358658
