STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Kerala,30,KUNNAMANGALAM,4 ABDUL VAHID,MALE,53,GENERAL,SDPI,Scissors,1276,23,1299,0.67,232409
Kerala,30,KUNNAMANGALAM,5 E. P. ANWAR SADATH,MALE,46,GENERAL,WPOI,Gas Cylinder,1026,31,1057,0.55,232409
Kerala,30,KUNNAMANGALAM,6 DINESHAN PAKKATH,MALE,49,GENERAL,IND,Truck,972,49,1021,0.53,232409
Kerala,30,KUNNAMANGALAM,7 NOTA,,,,NOTA,NOTA,851,13,864,0.45,232409
Kerala,30,KUNNAMANGALAM,8 ABDUL RAHEEM S/o. HASSAN KOYA,MALE,33,GENERAL,IND,BUCKET,725,13,738,0.38,232409
Kerala,30,KUNNAMANGALAM,9 BABU K G,MALE,75,GENERAL,IND,Kettle,715,9,724,0.37,232409
Kerala,30,KUNNAMANGALAM,10 DINESAN MUNDAKKAL,MALE,50,GENERAL,IND,Football,222,3,225,0.12,232409
Kerala,30,KUNNAMANGALAM,11 ABDUL RAHEEM P S/o. ABDUL KAREEM,MALE,37,GENERAL,IND,Balloon,210,12,222,0.11,232409
TURN OUT,,,,,,TOTAL:,,,188541,5281,193822,83.4,
Kerala,31,KODUVALLY,1 DR. M.K MUNEER,MALE,58,GENERAL,IUML,Ladder,70193,2143,72336,47.86,183551
Kerala,31,KODUVALLY,2 KARAT RAZACK,MALE,55,GENERAL,IND,Glass Tumbler,64114,1878,65992,43.66,183551
Kerala,31,KODUVALLY,3 T BALASOMAN,MALE,52,GENERAL,BJP,Lotus,9227,271,9498,6.28,183551
Kerala,31,KODUVALLY,4 MUSTHAFA KOMMERI,MALE,39,GENERAL,SDPI,Scissors,1734,35,1769,1.17,183551
Kerala,31,KODUVALLY,5 ABDUL RAZAK K S/O AHMAD KUTTY,MALE,63,GENERAL,IND,BUCKET,379,2,381,0.25,183551
Kerala,31,KODUVALLY,6 ABDUL RAZAK S/O MUHAMMED,MALE,51,GENERAL,IND,Cup & Saucer,316,9,325,0.22,183551
Kerala,31,KODUVALLY,7 NOTA,,,,NOTA,NOTA,265,4,269,0.18,183551
Kerala,31,KODUVALLY,8 MUNEER M.K S/O MUHAMMED,MALE,41,GENERAL,IND,Tongs,207,21,228,0.15,183551
Kerala,31,KODUVALLY,9 LAKSHMANAN.K.P.THAMARASSERY,MALE,63,SC,IND,Television,102,2,104,0.07,183551
Kerala,31,KODUVALLY,10 SALEEM NECHOLE,MALE,56,GENERAL,IND,Football,91,1,92,0.06,183551
Kerala,31,KODUVALLY,11 ABDUL MUNEER,MALE,41,GENERAL,IND,Wall Hook,86,0,86,0.06,183551
Kerala,31,KODUVALLY,12 SHAHIN K C,MALE,29,GENERAL,SMFB,Crane,69,5,74,0.05,183551
TURN OUT,,,,,,TOTAL:,,,146783,4371,151154,82.35,
Kerala,32,THIRUVAMBADY,1 Linto Joseph,MALE,28,GENERAL,CPI(M),"Hammer, Sickle and Star",66017,1850,67867,47.46,180570
Kerala,32,THIRUVAMBADY,2 C. P. Cheriya Muhammed,MALE,56,GENERAL,IUML,Ladder,61469,1755,63224,44.21,180570
Kerala,32,THIRUVAMBADY,3 Baby Ambattu,MALE,66,GENERAL,BJP,Lotus,7632,162,7794,5.45,180570
Kerala,32,THIRUVAMBADY,4 Sunny. V. Joseph,MALE,61,GENERAL,IND,Walking Stick,1800,47,1847,1.29,180570
Kerala,32,THIRUVAMBADY,5 K. P. Cheriya Muhammed S/o Kunhoyi,MALE,70,GENERAL,IND,Refrigerator,1100,21,1121,0.78,180570
Kerala,32,THIRUVAMBADY,6 Linto Joseph S/o Sali,MALE,25,GENERAL,IND,Ring,550,29,579,0.4,180570
Kerala,32,THIRUVAMBADY,7 NOTA,,,,NOTA,NOTA,413,6,419,0.29,180570
Kerala,32,THIRUVAMBADY,8 Lenilal. T. D.,MALE,32,GENERAL,IND,Bead Necklace,78,2,80,0.06,180570
Kerala,32,THIRUVAMBADY,9 Prof.George Mathew Thottathimyalil,MALE,61,GENERAL,IND,Ganna Kisan,74,4,78,0.05,180570
TURN OUT,,,,,,TOTAL:,,,139133,3876,143009,79.2,
Kerala,33,KONDOTTY,1 T V IBRAHIM,MALE,55,GENERAL,IUML,Ladder,81259,1500,82759,50.42,205411
