STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Tamil Nadu,8,Ambattur,6 NOTA,,,,NOTA,NOTA,2332,26,2358,0.98,384377
Tamil Nadu,8,Ambattur,7 K Bharathi,MALE,40,SC,IND,Letter Box,801,6,807,0.34,384377
Tamil Nadu,8,Ambattur,8 R Radha,FEMALE,52,GENERAL,NCP,Clock,613,2,615,0.26,384377
Tamil Nadu,8,Ambattur,9 S Praveen,MALE,32,GENERAL,IND,Mike,251,0,251,0.1,384377
Tamil Nadu,8,Ambattur,10 S Veena,FEMALE,48,GENERAL,AMAK,Gas Cylinder,231,2,233,0.1,384377
Tamil Nadu,8,Ambattur,11 NARMADA NANDHAKUMAR,FEMALE,43,GENERAL,IND,BELT,176,1,177,0.07,384377
Tamil Nadu,8,Ambattur,12 T Joseph Samuvel SanthaKumar,MALE,39,GENERAL,IND,Binoculars,162,0,162,0.07,384377
Tamil Nadu,8,Ambattur,13 T MUNIANDI,MALE,65,GENERAL,IND,Camera,156,0,156,0.06,384377
Tamil Nadu,8,Ambattur,14 M S ARUMUGAM,MALE,55,SC,IND,Chappals,141,1,142,0.06,384377
Tamil Nadu,8,Ambattur,15 C RAGHUL,MALE,29,SC,IND,DIAMOND,138,1,139,0.06,384377
Tamil Nadu,8,Ambattur,16 Bharadan,MALE,33,GENERAL,IND,Spanner,111,0,111,0.05,384377
Tamil Nadu,8,Ambattur,17 A R MURUGAVEL,MALE,50,GENERAL,IND,T.V. Remote,94,1,95,0.04,384377
Tamil Nadu,8,Ambattur,18 G Soma Sundaram,MALE,39,GENERAL,IND,Whistle,80,0,80,0.03,384377
Tamil Nadu,8,Ambattur,19 A S Kesavan,MALE,53,SC,IND,Matchbox,59,0,59,0.02,384377
Tamil Nadu,8,Ambattur,20 G Srinivasan,MALE,45,SC,IND,CUBE,56,1,57,0.02,384377
Tamil Nadu,8,Ambattur,21 N Ganesan,MALE,49,GENERAL,IND,Almirah,55,0,55,0.02,384377
Tamil Nadu,8,Ambattur,22 P Dhanraj,MALE,66,GENERAL,IND,BOX,52,3,55,0.02,384377
Tamil Nadu,8,Ambattur,23 Ravi,MALE,43,GENERAL,IND,Brush,44,0,44,0.02,384377
Tamil Nadu,8,Ambattur,24 G Vijayakumar,MALE,63,GENERAL,IND,BENCH,39,0,39,0.02,384377
TURN OUT,,,,,,TOTAL:,,,238410,1889,240299,62.52,
Tamil Nadu,9,Madavaram,1 SUDHARSANAM. S,MALE,62,GENERAL,DMK,Rising Sun,150654,831,151485,50.04,454474
Tamil Nadu,9,Madavaram,2 Moorthy. V,MALE,62,GENERAL,ADMK,Two Leaves,94206,208,94414,31.19,454474
Tamil Nadu,9,Madavaram,3 ELUMALAI. R,MALE,55,GENERAL,NTK,Ganna Kisan,27411,42,27453,9.07,454474
Tamil Nadu,9,Madavaram,4 RAMESH,MALE,57,GENERAL,MNM,Battery torch,15838,39,15877,5.25,454474
Tamil Nadu,9,Madavaram,5 DHAKSHNAMOORTHY. D,MALE,45,GENERAL,AMMKMNKZ,Pressure Cooker,7088,16,7104,2.35,454474
Tamil Nadu,9,Madavaram,6 NOTA,,,,NOTA,NOTA,2161,5,2166,0.72,454474
Tamil Nadu,9,Madavaram,7 DEEPAK. S,MALE,31,SC,BSP,Elephant,1390,3,1393,0.46,454474
Tamil Nadu,9,Madavaram,8 ARAVIND KUMAR. P,MALE,36,GENERAL,DMSK,Football,465,0,465,0.15,454474
Tamil Nadu,9,Madavaram,9 MOORTHY. S,MALE,35,GENERAL,IND,Electric Pole,437,0,437,0.14,454474
Tamil Nadu,9,Madavaram,10 RAMU. S,MALE,51,GENERAL,IND,Peas,431,0,431,0.14,454474
Tamil Nadu,9,Madavaram,11 BABU. M.G,MALE,49,GENERAL,IND,Cauliflower,411,2,413,0.14,454474
Tamil Nadu,9,Madavaram,12 SAMBATH. E,MALE,40,GENERAL,SHS,Almirah,175,0,175,0.06,454474
Tamil Nadu,9,Madavaram,13 SUDHARSANAN. D,MALE,26,SC,IND,Cake,169,1,170,0.06,454474
Tamil Nadu,9,Madavaram,14 JAYASEELAN. S,MALE,38,GENERAL,IND,DIAMOND,119,0,119,0.04,454474
Tamil Nadu,9,Madavaram,15 VINOTH KUMAR. M,MALE,32,GENERAL,NADLMMKLK,Fountain,113,1,114,0.04,454474
Tamil Nadu,9,Madavaram,16 ARIVUNITHI. S,MALE,40,GENERAL,IND,Telephone,108,0,108,0.04,454474
Tamil Nadu,9,Madavaram,17 NIRMAL KUMAR. M,MALE,35,GENERAL,IND,Bangles,101,0,101,0.03,454474
Tamil Nadu,9,Madavaram,18 SAKTHIVEL. A,MALE,48,SC,IND,Truck,83,2,85,0.03,454474
Tamil Nadu,9,Madavaram,19 YUVARAJ. M,MALE,49,GENERAL,AMGRDMK,Pan,81,0,81,0.03,454474
Tamil Nadu,9,Madavaram,20 SATHISH KUMAR. S,MALE,36,GENERAL,IND,Chappals,62,0,62,0.02,454474
Tamil Nadu,9,Madavaram,21 RAMESH. G,MALE,52,GENERAL,IND,Tray,47,0,47,0.02,454474
TURN OUT,,,,,,TOTAL:,,,301550,1150,302700,66.6,
Tamil Nadu,10,Thiruvottiyur,1 K.P.SHANKAR,MALE,47,GENERAL,DMK,Rising Sun,87703,482,88185,44.09,306005
Tamil Nadu,10,Thiruvottiyur,2 K.KUPPAN,MALE,67,GENERAL,ADMK,Two Leaves,50435,89,50524,25.26,306005
Tamil Nadu,10,Thiruvottiyur,3 SEEMAN,MALE,55,GENERAL,NTK,Ganna Kisan,48497,100,48597,24.3,306005
Tamil Nadu,10,Thiruvottiyur,4 D.MOHAN,MALE,48,GENERAL,MNM,Battery torch,7025,28,7053,3.53,306005
Tamil Nadu,10,Thiruvottiyur,5 M.SOUNDARA PANDIAN,MALE,57,GENERAL,AMMKMNKZ,Pressure Cooker,1413,4,1417,0.71,306005
Tamil Nadu,10,Thiruvottiyur,6 NOTA,,,,NOTA,NOTA,1106,5,1111,0.56,306005
Tamil Nadu,10,Thiruvottiyur,7 M.A.MICHAEL RAJ,MALE,52,GENERAL,IND,Cake,601,2,603,0.3,306005
Tamil Nadu,10,Thiruvottiyur,8 N.RAMESH KUMAR,MALE,61,SC,IND,Television,584,1,585,0.29,306005
Tamil Nadu,10,Thiruvottiyur,9 M.KOTTESWARAN,MALE,26,SC,BSP,Elephant,367,0,367,0.18,306005
Tamil Nadu,10,Thiruvottiyur,10 D.SASIRAJ,MALE,37,GENERAL,SAP,Tractor Chalata Kisan,291,0,291,0.15,306005
Tamil Nadu,10,Thiruvottiyur,11 R.EGAVALLI,FEMALE,41,GENERAL,NADLMMKLK,Fountain,253,0,253,0.13,306005
Tamil Nadu,10,Thiruvottiyur,12 U.VENKATESH,MALE,26,GENERAL,IND,DIAMOND,224,0,224,0.11,306005
Tamil Nadu,10,Thiruvottiyur,13 M.CHELLAM,FEMALE,51,GENERAL,IND,COCONUT FARM,184,0,184,0.09,306005
Tamil Nadu,10,Thiruvottiyur,14 C.DHANRAJ,MALE,47,GENERAL,IND,Whistle,115,0,115,0.06,306005
Tamil Nadu,10,Thiruvottiyur,15 D.THAMIZHIZHAN,MALE,27,GENERAL,IND,Gift Pack,103,0,103,0.05,306005
Tamil Nadu,10,Thiruvottiyur,16 K.GOPINATH,MALE,46,GENERAL,IND,Mike,96,0,96,0.05,306005
Tamil Nadu,10,Thiruvottiyur,17 B.DHANASEKARAN,MALE,45,GENERAL,IND,Almirah,88,0,88,0.04,306005
Tamil Nadu,10,Thiruvottiyur,18 B.ZAKIR HUSSAIN,MALE,47,GENERAL,IND,Matchbox,71,0,71,0.04,306005
Tamil Nadu,10,Thiruvottiyur,19 PRAVINA,FEMALE,47,SC,IND,Pot,52,0,52,0.03,306005
Tamil Nadu,10,Thiruvottiyur,20 N.RAJESH KUMAR,MALE,37,GENERAL,IND,Safety Pin,48,0,48,0.02,306005
Tamil Nadu,10,Thiruvottiyur,21 V.SURESHBALAJI,MALE,33,GENERAL,IND,Pen Stand,29,0,29,0.01,306005
TURN OUT,,,,,,TOTAL:,,,199285,711,199996,65.36,
Tamil Nadu,11,Dr.Radhakrishnan Nagar,1 EBENEZER. J.J. (@) JOHN EBENEZER.J,MALE,45,GENERAL,DMK,Rising Sun,95516,247,95763,51.2,262980
Tamil Nadu,11,Dr.Radhakrishnan Nagar,2 RAAJESH.R.S.,MALE,48,GENERAL,ADMK,Two Leaves,53204,80,53284,28.49,262980
